ticker,date,expiry,option_type,moneyness,strike,timestamp,open,high,low,close,volume
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:43:00,13.2,13.65,13.2,13.65,3500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:45:00,13.65,13.65,13.65,13.65,1250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:46:00,13.65,13.65,13.65,13.65,1250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:47:00,13.65,13.65,13.1,13.4,2000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:48:00,13.35,13.35,13.35,13.35,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:50:00,13.0,13.0,12.9,12.9,1750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:51:00,12.65,12.65,12.65,12.65,2000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:52:00,12.5,12.5,12.5,12.5,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:53:00,12.65,12.65,12.65,12.65,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:54:00,12.4,12.5,12.35,12.5,1250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:56:00,12.35,12.35,12.35,12.35,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:57:00,12.1,12.1,12.1,12.1,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 12:59:00,12.0,12.0,12.0,12.0,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:01:00,12.5,12.5,12.0,12.0,1250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:03:00,11.6,11.6,11.6,11.6,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:04:00,11.8,11.8,11.75,11.75,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:05:00,11.8,11.85,11.8,11.85,1250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:06:00,11.95,12.0,11.95,12.0,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:07:00,12.15,12.15,12.0,12.0,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:10:00,12.5,12.5,12.5,12.5,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:11:00,12.6,12.6,12.6,12.6,750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:12:00,13.2,13.2,13.2,13.2,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:14:00,13.4,13.5,13.1,13.1,2000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:24:00,12.1,12.1,12.1,12.1,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:25:00,12.95,12.95,12.25,12.25,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:29:00,12.1,12.1,12.1,12.1,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:30:00,12.0,12.0,12.0,12.0,2000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:32:00,11.95,12.0,11.7,11.7,1500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:33:00,11.9,11.9,11.9,11.9,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:36:00,11.95,11.95,11.95,11.95,500
