ticker,date,expiry,option_type,moneyness,strike,timestamp,open,high,low,close,volume
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:38:00,8.55,8.75,8.55,8.75,900
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:39:00,8.75,8.75,8.75,8.75,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:40:00,9.1,9.1,8.8,8.8,600
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:41:00,8.8,8.8,8.7,8.7,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:42:00,7.7,8.45,7.7,8.0,2700
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:43:00,7.75,8.55,7.75,8.55,2400
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:44:00,8.55,8.55,7.35,7.95,1200
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:45:00,7.95,7.95,7.45,7.45,900
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:46:00,7.95,7.95,7.95,7.95,900
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:47:00,8.4,8.4,8.3,8.3,600
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:48:00,8.3,8.3,7.7,7.7,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:49:00,7.7,7.7,7.7,7.7,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:50:00,7.7,7.7,7.7,7.7,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:51:00,7.7,7.7,7.45,7.5,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:52:00,7.35,7.35,6.75,7.1,1200
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:53:00,6.75,6.8,6.75,6.75,5100
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:54:00,6.75,6.85,6.75,6.85,3600
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:55:00,6.85,7.3,6.85,7.3,3000
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:56:00,7.05,7.05,7.05,7.05,1200
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:57:00,7.05,7.05,7.05,7.05,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:58:00,6.75,6.8,6.65,6.8,2400
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 14:59:00,6.8,6.8,6.2,6.2,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:00:00,6.2,6.55,6.2,6.55,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:01:00,5.8,5.95,5.6,5.6,5400
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:02:00,5.6,5.85,5.6,5.85,600
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:03:00,5.85,5.85,5.85,5.85,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:04:00,5.85,5.85,5.0,5.55,3000
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:05:00,5.25,5.5,5.25,5.5,1200
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:06:00,5.5,5.5,5.5,5.5,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:07:00,5.5,5.5,5.5,5.5,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:08:00,5.85,5.85,5.65,5.65,2700
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:09:00,5.65,6.55,5.65,6.55,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:10:00,6.55,6.55,5.9,5.9,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:11:00,5.9,5.9,5.9,5.9,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:12:00,5.95,6.3,5.95,5.95,1200
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:13:00,6.0,6.0,6.0,6.0,600
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:14:00,5.65,5.65,5.65,5.65,600
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:15:00,5.45,5.45,5.05,5.05,4800
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:16:00,5.05,5.5,5.05,5.5,1200
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:17:00,5.5,5.55,5.45,5.55,1500
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:18:00,5.55,5.55,5.55,5.55,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:19:00,5.55,5.55,5.55,5.55,0
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:20:00,5.55,5.55,5.5,5.5,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:21:00,5.5,5.5,5.0,5.0,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:22:00,5.0,5.0,5.0,5.0,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:23:00,5.05,5.05,5.0,5.0,900
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:24:00,5.0,5.0,5.0,5.0,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:25:00,5.0,5.15,4.85,5.15,900
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:26:00,5.15,5.15,4.7,4.8,300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:27:00,4.65,4.8,4.6,4.8,3300
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:28:00,4.8,4.8,4.8,4.8,600
ACC,2024-08-28,2024-08-29,CALL,ITM1,2340,2024-08-28 15:29:00,4.8,4.8,4.0,4.05,2700
ACC,2024-08-28,2024-08-29,PUT,OTM1,2340,2024-08-28 09:15:00,11.75,12.7,11.75,12.7,0
ACC,2024-08-28,2024-08-29,PUT,OTM1,2340,2024-08-28 09:16:00,12.7,12.7,12.7,12.7,1800
